index,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Deinococcota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__FCPU426,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__GAL15,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__Latescibacterota,d__Bacteria;p__MBNT15,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Myxococcota,d__Bacteria;p__NB1-j,d__Bacteria;p__Nitrospinota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__RCP2-54,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Spirochaetota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Sva0485,d__Bacteria;p__TA06,d__Bacteria;p__TX1A-33,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__WPS-2,d__Bacteria;p__WS1,d__Bacteria;p__WS2,d__Bacteria;p__WS4,d__Bacteria;p__Zixibacteria
2021-Hojo-134_S134,10,7380,10549,88,1118,192,0,4563,70,14,0,0,30,67,14,117,0,11,1431,0,121,1322,0,0,132,75,2274,1230,13,0,403,0,4061,10894,125,0,5,0,0,0,0,2086,13,0,0,0,11
2021-Hojo-135_S135,5,6340,8271,155,1104,30,0,4351,0,0,0,0,16,157,0,65,0,0,581,0,0,1485,0,0,162,27,1094,1113,46,0,366,0,4481,9368,152,0,6,8,0,0,0,3430,0,0,0,0,15
2021-Hojo-136_S136,4,10201,12819,159,2413,332,0,8161,50,0,0,0,0,168,21,98,0,0,1089,0,0,1934,0,0,420,152,2541,1537,154,0,488,22,6822,16524,292,0,0,6,0,0,0,2437,0,0,0,0,56
2021-Hojo-137_S137,7,5057,8839,120,625,50,0,3556,0,0,0,0,0,131,13,0,0,5,624,0,0,1345,0,0,29,38,1340,931,38,0,207,0,2078,5672,212,0,0,0,0,0,0,2446,0,0,0,0,0
2021-Hojo-138_S138,12,8729,10823,118,913,27,0,5882,12,0,0,0,11,124,0,12,0,0,1269,0,4,1971,0,0,70,25,1265,1569,54,0,300,0,3813,8429,105,5,8,0,0,0,0,2156,0,0,0,0,0
2021-Hojo-139_S139,0,5421,3374,98,587,0,0,3040,0,0,0,0,12,46,0,20,0,0,419,0,0,1364,0,0,144,50,840,739,50,0,350,0,2338,5896,54,0,0,0,0,0,0,1305,0,0,0,0,19
2021-Hojo-140_S140,11,5777,5266,137,704,39,0,3049,0,0,0,0,12,180,0,10,0,0,810,0,0,1704,0,0,115,16,1100,1015,33,0,242,0,2515,4808,92,0,0,0,0,0,0,1533,0,0,0,0,5
2022-Hojo-001_S1,0,7401,18653,167,2331,331,5,12519,1390,0,17,0,0,1195,0,0,0,40,2383,0,0,1416,0,0,85,134,144,2278,9,75,567,57,2827,11448,52,14,27,0,176,15,0,1917,0,0,0,16,9
2022-Hojo-002_S2,0,10945,27972,206,3461,212,0,18221,1934,0,0,0,23,1341,48,0,10,77,1856,0,0,2224,0,0,101,161,230,3547,24,80,644,95,4561,17069,63,21,76,15,167,14,0,2586,7,0,0,0,11
2022-Hojo-003_S3,0,6644,19519,212,3569,596,0,7555,94,9,0,0,0,187,10,0,0,0,16028,0,0,2087,16,0,45,61,498,3019,103,0,638,216,5989,19642,32,12,0,17,0,0,0,3390,15,0,15,0,18
2022-Hojo-004_S4,0,6770,24268,134,2925,403,0,13318,200,0,5,0,14,1266,5,7,0,75,3804,0,0,1544,0,0,145,152,381,2981,94,89,509,46,2916,12751,91,0,63,0,119,0,0,1997,0,14,0,16,10
2022-Hojo-005_S5,5,8819,30405,149,3082,266,0,18389,1367,5,0,4,0,1672,0,0,0,134,2902,0,0,1578,0,0,112,326,221,3659,28,124,733,84,2913,16909,114,0,126,14,133,15,0,1758,0,0,8,0,14
2022-Hojo-006_S6,0,9908,22743,145,3731,308,0,18400,1789,0,0,0,0,1218,11,0,7,134,5321,8,0,1852,0,0,137,327,193,3872,65,73,710,121,3335,17798,130,16,44,0,64,0,0,1760,8,26,10,0,30
2022-Hojo-007_S7,0,9709,18000,289,2486,227,0,11175,609,0,0,0,0,858,22,29,0,53,3621,0,0,2098,0,0,184,111,381,4038,61,57,463,61,3617,12343,85,9,34,7,42,0,0,2118,0,0,0,21,6
2022-Hojo-008_S8,0,9794,24475,240,3236,162,0,15149,700,0,0,0,0,1078,21,0,0,23,1389,0,0,2237,0,0,120,82,281,3999,30,8,586,44,4688,13907,59,25,44,9,70,12,28,2904,0,0,6,0,29
2022-Hojo-009_S9,2,11150,19979,382,3058,249,0,15576,580,0,0,0,0,1040,11,0,12,66,843,0,0,2182,0,0,175,107,237,3262,23,30,643,48,4726,14826,161,0,45,0,34,8,5,2548,0,0,9,0,0
2022-Hojo-010_S10,4,11871,24748,293,4399,294,0,15006,830,0,0,0,0,946,70,0,0,62,3057,0,0,2791,0,0,145,103,276,3782,68,55,390,80,4781,16718,109,13,74,0,50,0,22,2726,6,0,5,0,9
2022-Hojo-011_S11,3,8413,19882,352,3070,171,0,16080,750,0,12,0,0,1498,9,0,0,39,1416,0,0,2024,0,0,162,575,420,3131,21,119,599,6,3595,14523,149,0,15,10,60,0,18,3192,0,9,0,0,0
2022-Hojo-012_S12,4,7907,14812,281,2377,372,0,8340,279,0,0,0,0,684,61,0,7,35,2182,0,0,2174,0,0,211,41,435,3734,34,40,413,25,3945,12322,37,9,13,0,0,0,12,1752,0,15,0,9,18
2022-Hojo-013_S13,0,10386,9338,218,703,466,0,5625,183,0,0,0,11,247,64,17,13,15,12757,0,128,1106,29,0,65,26,1031,3215,58,0,186,10,5089,13568,219,0,3,0,0,0,0,2539,298,0,0,0,0
2022-Hojo-014_S14,0,8028,7203,332,872,324,0,4639,80,28,0,4,0,175,0,26,0,0,4340,0,244,1132,11,0,54,18,1115,2395,55,0,223,9,4579,12161,132,0,4,0,0,0,0,2302,67,0,0,0,0
2022-Hojo-015_S15,0,12353,15543,517,2228,667,0,7486,433,11,0,7,14,317,0,9,0,17,8772,0,128,2292,39,0,161,42,1068,4748,26,0,427,83,6466,20201,152,7,0,0,0,0,0,3388,139,0,0,0,14
2022-Hojo-016_S16,0,7367,13527,194,423,73,0,3536,0,17,0,0,0,169,0,0,0,0,8882,0,31,1285,0,0,90,135,727,1680,0,0,216,0,3673,10323,209,0,0,0,0,0,0,5195,70,0,0,0,0
2022-Hojo-017_S17,4,6122,11850,292,618,275,0,4292,42,0,0,0,0,83,12,0,0,0,1260,0,0,1344,11,0,36,21,63,874,0,0,151,30,2973,9832,89,0,0,0,0,0,0,1236,583,0,0,0,0
2022-Hojo-018_S18,0,3941,7954,195,514,130,0,2172,310,0,0,0,0,52,25,0,0,0,1925,0,0,1232,0,0,37,25,32,1352,0,0,172,27,1970,8217,29,0,3,0,0,0,0,830,77,0,0,0,0
2022-Hojo-019_S19,0,3812,11049,445,233,0,0,4670,193,0,0,7,0,0,0,0,0,0,776,0,0,1862,6,0,0,0,47,777,0,0,134,0,1251,9161,49,0,0,0,0,0,0,758,40,0,0,0,0
2022-Hojo-020_S20,0,7907,12186,575,209,167,0,8930,93,0,0,0,13,24,0,6,0,5,1549,0,0,2218,18,0,27,0,147,1409,0,0,243,0,2938,12032,28,0,0,0,0,0,0,2294,235,0,0,0,0
2022-Hojo-021_S21,2,508,930,32,0,18,0,487,5,0,0,0,0,0,0,0,0,0,106,0,0,143,0,0,0,0,0,68,0,0,10,0,122,632,18,0,0,0,0,0,0,70,84,0,0,0,0
2022-Hojo-022_S22,0,5941,16544,401,921,134,0,9238,76,0,0,0,0,43,24,0,0,0,924,0,0,1870,10,0,29,0,80,1022,0,0,155,9,3408,11516,67,0,0,12,0,0,0,2286,120,0,7,0,0
2022-Hojo-023_S23,0,7894,11316,337,374,216,0,5763,69,0,0,0,0,200,18,83,0,0,3146,0,0,2051,39,0,43,96,463,2005,0,0,111,0,3810,11414,57,0,0,0,0,0,0,2003,87,0,0,0,6
2022-Hojo-024_S24,0,9933,12276,498,492,90,0,8192,146,0,0,0,0,186,38,43,0,0,2979,0,18,3258,53,0,65,74,439,2567,0,0,242,0,5345,13181,73,0,0,0,0,0,0,3031,209,0,0,0,5
2022-Hojo-025_S25,12,9422,13241,805,646,360,0,7611,208,10,0,0,6,89,23,22,0,0,1367,0,0,2469,0,0,139,85,324,2649,0,0,153,5,5923,12257,177,0,0,0,0,0,0,4545,322,0,0,0,0
2022-Hojo-026_S26,0,9146,17150,613,586,169,0,7770,552,0,0,0,0,74,0,11,0,6,3882,0,0,2592,24,0,49,31,326,2088,7,0,245,0,3602,14764,51,0,3,0,0,0,0,2465,35,0,0,0,0
2022-Hojo-027_S27,0,7337,15761,460,439,73,0,6971,302,0,0,0,7,64,10,0,10,0,1044,0,0,2015,8,0,34,0,196,1638,0,0,105,0,2108,15177,35,0,0,0,0,0,0,1500,19,0,0,0,0
2022-Hojo-028_S28,0,9253,15303,747,724,156,0,8144,287,0,0,0,14,65,0,0,0,0,1585,0,0,2042,3,0,55,59,323,1704,0,0,139,11,3885,14061,53,0,4,0,0,0,0,2289,124,0,0,0,0
2022-Hojo-029_S29,0,952,1193,118,19,0,0,1299,0,0,0,0,0,0,0,0,0,0,216,0,0,137,0,0,0,0,0,73,0,0,8,0,245,1233,11,0,0,0,0,0,0,190,101,0,0,0,0
2022-Hojo-030_S30,0,7832,20534,810,621,68,0,9936,261,0,0,0,0,0,8,5,0,0,2304,0,0,2982,0,0,22,0,119,1795,0,0,269,0,3887,18275,46,0,7,0,0,0,0,1508,15,0,0,0,0
2022-Hojo-031_S31,9,6986,12744,677,340,54,0,9430,57,0,0,0,0,29,8,0,4,0,1812,0,11,2268,5,0,71,0,64,1574,0,0,104,5,4116,11202,85,0,0,0,0,0,0,2280,234,0,0,0,0
2022-Hojo-032_S32,0,11506,17938,902,794,207,0,14772,201,0,0,0,0,60,53,0,0,0,2842,0,18,3500,16,0,134,16,139,2270,0,0,88,10,6986,17704,136,0,0,0,0,0,0,2760,448,0,0,0,0
2022-Hojo-033_S33,7,9283,13004,554,1074,136,0,7830,104,0,0,0,0,117,17,0,0,0,3411,0,0,2527,20,0,129,43,258,1822,32,0,197,2,5662,12686,84,0,0,0,0,0,0,3358,48,0,0,0,0
2022-Hojo-034_S34,0,11781,17860,513,1151,345,0,8968,76,0,0,0,26,183,42,89,0,0,3313,0,0,2887,4,0,387,79,543,2895,73,0,333,19,4984,17273,90,8,6,0,0,0,0,2352,20,0,4,0,15
2022-Hojo-035_S35,0,9940,15098,459,1105,343,0,7952,131,0,0,0,0,126,26,42,0,0,2566,0,0,2572,11,0,185,57,396,2492,18,0,366,34,4369,17268,52,0,21,0,0,0,0,3310,7,0,0,0,14
2022-Hojo-036_S36,20,12465,17780,824,1557,417,0,10658,112,0,0,0,0,213,49,0,0,0,4799,0,20,3407,23,0,144,98,237,2863,0,0,350,0,8655,16570,182,0,0,0,0,0,0,5297,319,0,0,0,0
2022-Hojo-037_S37,0,8561,18290,301,1024,341,0,6892,280,0,0,0,0,66,56,13,0,0,16586,0,0,2571,59,0,90,21,181,2754,0,0,364,17,5152,14634,66,0,0,11,0,0,0,2446,26,0,7,0,0
2022-Hojo-038_S38,0,10762,15543,296,1134,335,0,7982,113,0,0,0,0,180,44,0,0,9,6851,0,23,2485,32,0,198,98,345,2550,21,0,459,28,4973,13948,103,7,0,0,0,0,0,4104,51,0,10,0,5
2022-Hojo-039_S39,5,6510,9462,601,305,112,0,5766,315,0,0,0,0,29,8,0,0,0,2716,0,0,2499,0,0,66,0,355,1735,0,0,115,0,2287,9930,36,0,0,0,0,0,0,804,35,0,0,0,0
2022-Hojo-040_S40,0,4503,8066,306,530,141,0,4649,474,0,0,26,0,0,7,0,0,0,1940,0,0,1852,0,0,17,0,147,1349,0,0,81,0,2229,10709,31,0,6,0,0,0,0,583,24,0,0,0,0
2022-Hojo-041_S41,18,9086,14517,947,432,157,0,6575,612,0,0,0,10,16,53,0,0,11,2917,0,0,4503,0,0,127,0,415,1851,0,0,111,0,3689,13043,17,0,0,0,0,0,0,834,0,0,0,0,0
2022-Hojo-042_S42,16,6716,11449,621,239,94,0,4728,286,0,0,0,5,7,32,0,0,6,2926,0,0,3919,0,0,56,0,361,1389,0,0,92,0,2151,9307,16,0,0,0,0,0,0,438,7,0,0,0,0
2022-Hojo-043_S43,7,10749,14736,1515,745,173,0,7557,299,0,0,0,17,64,30,0,0,0,1673,0,0,3447,0,0,147,0,377,2436,0,0,130,7,6522,16796,56,0,0,0,0,0,0,2242,32,0,0,0,0
2022-Hojo-044_S44,4,7090,12320,811,440,316,0,5072,189,0,0,0,9,100,17,0,0,24,2086,0,0,3050,0,0,73,13,307,1676,0,0,208,58,3535,11915,17,0,0,0,0,0,0,1319,22,0,0,0,0
2022-Hojo-045_S45,0,3392,8633,62,1566,182,27,5206,2050,0,0,0,10,1819,0,0,0,75,2511,0,0,101,0,0,25,76,102,1504,7,38,269,80,3370,16679,103,11,13,0,48,0,13,1181,0,0,0,0,0
2022-Hojo-046_S46,3,6579,8062,228,1025,286,0,7224,901,0,13,0,0,1221,43,0,13,53,687,0,0,607,0,0,10,275,127,2287,0,25,542,14,3168,9882,117,0,45,10,63,0,12,1323,17,6,0,0,22
2022-Hojo-047_S47,3,11085,12284,445,1912,532,0,14211,879,0,23,0,0,1722,38,0,11,89,846,0,0,1301,0,0,11,402,395,3640,0,33,841,19,5221,14440,228,12,75,9,144,8,0,2453,21,14,0,16,14
2022-Hojo-048_S48,4,8148,8755,261,1416,403,0,10649,525,10,17,0,0,1351,0,0,22,60,731,0,0,748,0,0,75,216,207,2346,0,0,618,10,3762,9970,149,10,63,53,145,5,0,2042,45,16,0,19,10
2022-Hojo-049_S49,5,12391,14074,406,2390,532,0,13453,942,0,0,0,0,1793,14,0,18,87,1301,0,0,1368,0,0,0,229,309,3676,0,28,848,18,6239,15779,187,44,130,32,164,8,10,2961,56,15,0,0,7
2022-Hojo-050_S50,0,2907,2654,93,413,63,0,1799,87,0,0,0,0,483,0,0,11,30,500,0,0,247,0,0,0,19,25,876,0,20,95,7,430,3286,33,0,30,0,73,0,0,290,0,0,0,0,0
2022-Hojo-051_S51,0,10263,9618,313,1988,310,0,18562,707,0,24,0,0,1892,0,0,0,55,616,0,0,1551,0,0,57,589,357,2933,0,66,2149,5,3567,14519,99,9,113,23,143,0,9,1769,4,23,0,0,5
2022-Hojo-052_S52,0,9202,9874,189,1439,375,5,19563,1921,45,24,0,43,1696,0,0,23,147,3124,0,0,492,0,0,9,423,491,3028,50,19,1721,5,8367,18392,334,0,171,37,139,0,0,2023,25,0,0,0,5
2022-Hojo-053_S53,0,244,472,0,71,46,0,497,29,0,0,0,0,74,0,0,9,8,324,0,0,11,0,0,0,31,0,82,0,0,44,0,239,660,0,0,22,0,48,0,0,61,0,0,0,0,0
2022-Hojo-054_S54,0,6665,15138,205,1340,272,0,16239,1964,47,10,0,68,1369,0,13,28,91,2108,0,0,366,0,0,68,387,692,2607,48,74,2212,20,4999,15763,184,5,182,0,275,7,0,1609,0,0,0,0,0
2022-Hojo-055_S55,0,8196,8760,223,872,170,0,21310,1337,0,19,0,59,1258,0,4,23,60,1176,0,0,344,0,0,52,194,620,2813,14,31,2083,20,4474,13104,147,29,176,0,177,0,0,1404,0,0,0,28,0
2022-Hojo-056_S56,0,10056,26243,235,783,186,0,24179,1203,0,12,0,83,1811,0,0,10,70,1721,0,0,701,0,0,79,335,896,4739,51,15,2824,11,5866,20464,102,38,159,0,180,0,0,2266,4,0,0,18,0
2022-Hojo-057_S57,0,5434,10951,183,1251,129,0,4723,32,13,0,0,20,246,12,93,0,0,7328,0,9,908,13,0,130,24,835,1598,173,0,518,0,3128,8809,110,0,0,0,0,0,0,1382,0,0,0,0,8
2022-Hojo-058_S58,0,8147,19272,258,2463,320,0,6967,48,0,0,0,20,278,13,142,0,0,14081,0,0,1950,48,0,329,50,1343,3120,237,0,716,0,4859,14065,127,0,7,0,0,0,0,2281,0,0,0,0,0
2022-Hojo-059_S59,0,9970,21033,234,2017,351,0,6479,123,7,0,0,40,571,0,144,0,0,7699,0,0,1888,0,0,297,55,1226,3537,185,0,518,0,7101,14224,91,7,6,7,0,0,0,2833,0,0,0,0,0
2022-Hojo-060_S60,0,8393,26730,268,2321,281,0,6118,168,0,0,0,50,477,23,107,0,15,9468,0,0,1656,0,0,311,73,970,4398,120,0,562,17,7186,15178,55,0,9,12,0,0,0,3019,0,0,0,0,0
2022-Hojo-061_S61,0,225,590,0,32,20,0,810,0,0,0,0,0,37,0,0,0,0,640,0,0,9,0,0,0,0,0,64,0,0,23,0,64,261,24,0,0,0,0,0,0,61,0,0,0,0,0
2022-Hojo-062_S62,0,6856,18812,198,652,178,0,9452,17,0,0,0,7,221,0,0,0,0,6100,0,0,1082,0,0,85,0,183,2010,22,0,314,0,5047,9019,54,0,14,0,0,0,0,1758,6,0,0,0,0
2022-Hojo-063_S63,0,4413,7336,89,1049,174,0,12357,446,21,0,0,0,1235,35,0,35,58,1426,0,0,565,0,0,33,212,258,2177,12,58,1016,40,2103,6007,52,21,96,0,146,0,0,962,40,0,0,0,8
2022-Hojo-064_S64,3,7999,14359,322,2854,260,0,28592,1185,35,48,0,59,2350,0,0,0,120,1786,0,0,1016,0,0,57,633,488,3914,9,149,2786,119,5351,13389,204,37,163,0,442,0,14,1851,92,15,0,19,20
2022-Hojo-065_S65,0,9216,8603,154,1345,96,0,18869,741,53,15,0,43,1894,0,0,32,45,1580,0,0,470,0,0,46,534,478,2380,47,78,2367,36,5796,13557,223,0,145,13,315,0,0,1332,6,0,0,0,9
2022-Hojo-066_S66,4,9581,13134,261,2261,215,0,22429,1387,54,64,0,91,1897,0,0,23,86,1777,0,0,1054,0,0,36,587,632,3853,26,82,1876,56,7000,13420,204,17,143,27,249,8,0,2188,45,6,0,0,19
2022-Hojo-067_S67,0,8472,10384,324,1682,216,0,20537,1157,60,19,0,31,1927,40,0,31,80,1566,0,0,1026,0,0,66,345,599,3608,7,115,2006,31,5917,12041,134,44,143,44,172,0,9,1936,22,10,0,22,7
2022-Hojo-068_S68,0,5994,8348,190,1436,81,0,13846,943,35,11,0,13,1561,0,0,0,67,1004,0,0,613,0,0,23,389,461,2384,26,56,1479,38,3343,8172,127,25,118,19,211,0,0,1147,30,19,0,21,12
2022-Hojo-069_S69,0,8778,11381,177,1760,265,0,19282,1309,36,28,0,12,2725,0,0,26,146,1482,0,0,612,0,0,42,657,405,3236,17,109,2497,66,5022,15000,169,23,195,0,384,11,0,1644,48,12,0,0,7
2022-Hojo-070_S70,3,10428,12051,373,2005,181,0,23539,1131,36,21,0,41,1902,0,0,18,57,1923,0,0,1160,0,0,107,415,400,3825,5,117,2562,65,5558,14775,110,24,184,0,238,0,0,1491,84,0,0,0,9
2022-Hojo-071_S71,0,6623,8919,143,1136,125,0,14999,1277,16,10,0,0,1484,0,0,36,90,2424,0,0,468,0,0,10,87,161,2935,10,73,1512,24,3430,9632,52,22,190,24,222,0,0,810,98,0,0,0,15
2022-Hojo-072_S72,4,6846,7841,245,1580,198,0,18052,1154,24,26,0,0,1500,0,0,10,93,1607,0,0,644,0,0,36,343,407,2620,16,37,1442,40,4041,10272,166,0,105,0,118,0,0,1143,47,0,0,12,8
2022-Hojo-073_S73,3,11568,14209,298,1908,511,0,21056,1083,34,17,0,21,2017,32,0,14,131,4360,0,0,956,0,0,10,405,441,3858,46,0,1303,50,7299,16485,276,7,224,16,250,0,0,2215,19,13,0,0,0
2022-Hojo-074_S74,3,9935,10631,89,851,416,0,13037,279,39,9,0,11,1591,22,0,23,38,2148,0,0,217,0,0,16,178,229,2527,77,26,1571,0,5147,12893,167,0,224,0,190,0,0,1282,260,8,0,0,0
2022-Hojo-075_S75,4,12195,12610,97,1238,276,0,17921,1007,12,10,0,16,2149,0,0,89,42,3517,0,0,292,7,0,19,277,275,3841,54,31,2005,67,7543,18855,142,0,255,15,290,0,0,1570,19,10,0,0,0
2022-Hojo-076_S76,0,8554,11674,123,1941,185,0,15262,1119,30,9,0,7,2108,0,0,0,124,3833,0,0,469,0,0,13,507,263,3231,31,24,1697,65,5411,12937,122,7,233,0,380,8,10,1246,35,0,0,0,16
2022-Hojo-077_S77,2,11908,11925,262,3265,326,0,17725,1045,33,54,0,24,3411,0,5,36,156,3628,0,0,789,0,0,29,729,817,5306,34,24,3421,57,6883,18762,467,35,232,0,256,0,11,3559,0,0,0,0,18
2022-Hojo-078_S78,0,9077,15069,290,890,124,0,7550,13,11,0,0,21,245,0,11,54,0,2650,0,0,1666,6,0,116,77,1112,1482,94,0,386,0,5297,10809,172,12,9,0,0,0,0,1744,29,0,0,0,12
2022-Hojo-079_S79,0,11355,22225,371,1178,51,0,9339,30,0,0,0,36,471,0,17,49,0,3946,0,0,2428,0,0,265,84,1066,2251,91,0,351,0,6633,13712,215,0,12,0,0,0,0,2575,16,0,0,0,4
2022-Hojo-080_S80,0,9174,17984,425,1153,100,0,7610,18,0,0,0,49,336,0,60,31,0,3116,0,0,1972,10,0,198,103,1337,2206,109,0,505,0,5300,11223,242,22,12,4,0,0,0,2030,0,0,0,0,4
2022-Hojo-081_S81,0,8303,15471,281,829,55,0,8324,17,0,0,0,30,336,0,0,42,0,2520,0,0,1849,0,0,150,47,552,1621,72,0,258,20,5658,11399,183,6,0,5,0,0,0,2284,34,0,0,0,0
2022-Hojo-082_S82,0,6715,9614,129,466,9,0,4104,0,14,0,0,26,280,0,0,46,0,1241,0,0,1533,0,0,120,70,670,1277,35,0,212,11,4232,7968,157,13,0,11,0,0,0,1292,0,0,0,0,0
2022-Hojo-083_S83,0,9140,14875,329,1420,104,0,8788,15,23,0,0,45,359,0,5,30,0,1019,0,0,2421,5,0,179,113,1042,1734,118,0,404,11,6189,13719,189,8,10,0,0,0,0,2381,0,0,0,0,23
2022-Hojo-084_S84,0,8993,16269,345,1255,128,0,9314,37,0,0,0,35,365,27,130,0,12,3227,0,0,2072,29,0,351,106,1362,2758,296,0,732,0,5258,12005,80,0,6,0,0,0,0,1567,0,0,0,0,11
2022-Hojo-085_S85,0,262,515,5,6,0,0,100,0,0,0,0,0,0,0,9,0,0,469,0,0,119,0,0,0,0,164,30,0,0,36,0,55,278,0,0,0,0,0,0,0,50,0,0,0,0,0
2022-Hojo-086_S86,0,10169,22739,336,1535,61,0,8005,16,11,0,0,27,545,13,92,49,0,1505,0,0,2150,0,0,209,80,1357,2382,75,0,525,0,7562,15039,111,13,0,4,0,0,0,3579,0,0,0,0,0
2022-Hojo-087_S87,0,9273,17606,321,777,71,0,6643,0,29,0,0,38,463,0,59,26,0,2110,0,0,2067,0,0,155,166,1222,2150,104,0,333,5,5762,10059,143,6,0,0,0,0,0,2315,0,0,0,0,17
2022-Hojo-088_S88,0,8534,16365,225,826,42,0,4806,12,0,0,0,11,438,0,37,47,0,3195,0,0,1662,0,0,123,112,911,1893,50,0,314,5,5564,10823,90,8,4,9,0,0,0,1707,20,0,0,0,17
2022-Hojo-089_S89,0,6900,11445,232,551,40,0,5345,0,0,0,0,35,335,0,58,28,0,4452,0,0,2138,0,0,81,56,1203,1370,80,0,321,12,3097,7728,117,4,0,7,0,0,0,1107,18,0,0,0,25
2022-Hojo-090_S90,0,2587,11824,167,268,248,0,4172,722,0,0,5,0,147,0,15,0,0,3983,0,0,325,0,0,11,0,216,1753,4,0,204,21,1518,5297,9,0,0,0,0,0,0,598,0,0,0,0,0
2022-Hojo-091_S91,0,6619,23422,237,461,442,0,8172,986,0,0,0,0,290,8,7,0,11,6161,0,0,765,0,0,34,34,208,4185,0,0,267,11,5461,10449,52,0,0,0,0,0,0,1694,60,0,0,0,0
2022-Hojo-092_S92,0,4386,23800,114,550,411,0,7516,1142,0,17,0,0,683,0,39,0,48,11656,6,0,397,5,0,106,140,347,3970,92,37,410,11,3580,10097,108,0,9,0,32,0,0,1089,0,0,0,0,0
2022-Hojo-093_S93,0,181,1624,0,21,0,0,238,63,0,0,0,0,30,0,0,0,0,2304,0,0,12,0,0,0,0,7,271,0,0,13,0,103,560,0,0,0,0,0,0,0,26,0,0,0,0,0
2022-Hojo-094_S94,0,5270,26274,136,896,498,0,9497,1485,0,0,0,0,739,0,28,5,87,10121,9,0,756,11,0,55,99,400,4205,61,35,420,20,3622,10180,136,5,0,0,38,0,0,1438,0,0,0,21,0
2022-Hojo-095_S95,0,3673,18459,133,496,515,0,5466,1319,0,0,3,7,476,0,23,0,10,7082,0,0,505,0,0,0,43,177,3161,18,0,212,86,2722,7116,40,0,0,14,0,0,10,925,0,0,0,0,0
2022-Hojo-096_S96,3,10296,33260,256,928,625,0,11952,2393,9,0,0,0,551,33,29,0,76,6788,0,0,1303,0,0,35,52,374,5408,6,0,338,280,7748,14836,65,5,0,0,0,0,9,2248,131,0,0,17,0
2022-Hojo-097_S97,4,6412,20830,224,285,149,0,7634,77,0,0,0,23,287,0,26,0,11,2251,0,0,1287,0,0,0,62,404,2372,13,0,415,0,4608,9256,75,5,0,0,13,0,0,1557,27,0,0,12,0
2022-Hojo-098_S98,0,8046,26902,450,422,324,0,8523,284,0,0,0,9,270,0,22,0,0,1435,0,23,1681,0,0,44,49,383,2512,0,0,279,0,6796,13010,62,9,0,0,0,0,0,2691,274,0,0,0,0
2022-Hojo-099_S99,0,7291,29502,280,492,342,0,6263,443,0,0,0,0,218,19,16,0,0,1788,0,0,1276,0,0,0,31,248,3185,0,0,311,0,6919,13282,35,4,0,0,0,0,0,2287,223,0,0,0,0
2022-Hojo-100_S100,0,8356,27166,316,406,375,0,12037,143,0,0,0,7,228,46,30,0,0,1150,0,3,1697,0,0,28,87,534,3084,0,0,552,0,5178,10170,76,4,0,0,0,0,0,2112,56,0,0,17,0
2022-Hojo-101_S101,0,493,2282,18,20,0,0,1703,5,0,0,0,7,0,0,0,0,0,87,0,0,155,0,0,0,0,0,85,0,0,12,0,297,640,26,0,0,0,0,0,0,100,226,0,0,0,0
2022-Hojo-102_S102,0,3706,15956,225,211,282,0,6920,132,0,0,0,0,110,11,35,0,0,1022,0,21,1161,0,0,30,14,115,1823,0,0,201,0,2909,7394,5,0,0,0,0,0,0,1790,249,0,0,0,0
2022-Hojo-103_S103,0,3220,11130,162,119,243,0,7303,88,0,0,0,12,96,0,4,0,4,502,0,17,722,0,0,0,10,28,989,0,0,113,12,2911,4960,56,0,0,0,0,0,0,674,902,0,0,0,0
2022-Hojo-104_S104,0,7816,24986,276,242,375,0,13280,111,0,0,0,11,248,3,15,0,0,816,0,10,1300,0,0,24,34,228,2383,0,0,194,0,7141,13173,69,4,6,0,0,0,0,1932,550,0,0,0,0
